file_list,temporal_segment_start,temporal_segment_end,metadata,sequence_number,view,diff
seq_4_seq_4_view_2.webm,1.023,3.10642,inserting vertical short rods,seq_4,2,2.0834200000000003
seq_4_seq_4_view_2.webm,3.649,5.93976,inserting vertical short rods,seq_4,2,2.2907599999999997
seq_4_seq_4_view_2.webm,6.689,9.04392,inserting vertical short rods,seq_4,2,2.35492
seq_4_seq_4_view_2.webm,9.607,12.85642,inserting vertical short rods,seq_4,2,3.2494200000000006
seq_5_seq_5_view_2.webm,1.023,6.77309,mistakes,seq_5,2,5.75009
seq_6_seq_6_view_5.webm,0.972,8.68976,mistakes,seq_6,5,7.71776
seq_6_seq_6_view_5.webm,8.8,10.41892,inserting elbows,seq_6,5,1.6189199999999992
seq_6_seq_6_view_5.webm,10.69,14.85642,mistakes,seq_6,5,4.1664200000000005
seq_6_seq_6_view_5.webm,15.574,20.54392,mistakes,seq_6,5,4.96992
seq_6_seq_6_view_5.webm,21.128,24.10642,inserting elbows,seq_6,5,2.97842
seq_6_seq_6_view_5.webm,25.857,30.85642,inserting horizontal short rods,seq_6,5,4.999420000000001
seq_6_seq_6_view_5.webm,30.961,35.56476,inserting vertical short rods,seq_6,5,4.603760000000001
seq_6_seq_6_view_5.webm,35.94,39.27309,inserting vertical short rods,seq_6,5,3.3330900000000057
seq_6_seq_6_view_5.webm,39.975,41.93976,inserting vertical short rods,seq_6,5,1.9647599999999983
seq_7_seq_7_view_5.webm,8.19,12.23142,inserting horizontal long rods,seq_7,5,4.0414200000000005
seq_7_seq_7_view_5.webm,12.801,18.18976,inserting horizontal long rods,seq_7,5,5.3887599999999996
seq_7_seq_7_view_5.webm,22.374,27.94427,inserting elbows,seq_7,5,5.570270000000001
seq_7_seq_7_view_5.webm,28.435,34.81927,inserting elbows,seq_7,5,6.384270000000004
seq_7_seq_7_view_5.webm,35.422,39.06927,inserting elbows,seq_7,5,3.647270000000006
